title,genre,release_time,time,screening_rat,director,num_staff,num_actor,movieNm,movieCd,openDt,audiAcc
투캅스 인 파리,"[dict_values(['액션']), dict_values(['코미디']), dict_values(['범죄'])]",20150326,94,청소년관람불가,다비드 샤혼,0,2,투캅스 인 파리,20158082,2015-03-26,3506.0
헬머니,[dict_values(['코미디'])],20150305,108,청소년관람불가,신한솔,226,45,헬머니,20148841,2015-03-05,520178.0
뷰티풀 라이,[dict_values(['드라마'])],20150326,110,12세이상관람가,필리프 팔라도,0,4,뷰티풀 라이,20157421,2015-03-26,12022.0
채피,"[dict_values(['액션']), dict_values(['스릴러'])]",20150312,120,15세이상관람가,닐 블롬캠프,0,4,채피,20156402,2015-03-12,570710.0
런 올 나이트,"[dict_values(['액션']), dict_values(['스릴러'])]",20150319,115,청소년관람불가,자움 콜렛 세라,0,5,런 올 나이트,20157041,2015-03-19,286202.0
살인의뢰,"[dict_values(['범죄']), dict_values(['스릴러'])]",20150312,102,청소년관람불가,손용호,357,23,살인의뢰,20148461,2015-03-12,849142.0
맛있는 택배,[dict_values(['멜로/로맨스'])],20150402,83,청소년관람불가,기대호,64,5,맛있는 택배,20158504,2015-04-02,2057.0
윈드랜드,[dict_values(['애니메이션'])],20150402,81,전체관람가,세르지오 맨피오,0,5,윈드랜드,20157584,2015-04-02,20418.0
팔로우,[dict_values(['공포(호러)'])],20150402,99,청소년관람불가,데이빗 로버트 밋첼,0,4,팔로우,20157394,2015-04-02,29355.0
파울볼,[dict_values(['다큐멘터리'])],20150402,86,전체관람가,조정래,73,13,파울볼,20157587,2015-04-02,23155.0
송 원,"[dict_values(['드라마']), dict_values(['멜로/로맨스'])]",20150401,88,15세이상관람가,케이트 베커-플로이랜드,0,2,송 원,20157121,2015-04-01,42960.0
인서전트,"[dict_values(['SF']), dict_values(['액션'])]",20150325,119,15세이상관람가,로베르트 슈벤트케,0,8,인서전트,20144461,2015-03-25,281424.0
뱀파이어 아카데미,"[dict_values(['액션']), dict_values(['코미디']), dict_values(['판타지'])]",20150409,104,15세이상관람가,마크 워터스,0,3,뱀파이어 아카데미,20158643,2015-04-09,4218.0
엘리노어 릭비: 그 남자 그 여자,[dict_values(['드라마'])],20150409,122,15세이상관람가,네드 벤슨,0,4,엘리노어 릭비: 그 남자 그 여자,20142884,2015-04-09,31177.0
한 번 더 해피엔딩,"[dict_values(['멜로/로맨스']), dict_values(['코미디'])]",20150408,106,15세이상관람가,마크 로렌스,0,4,한 번 더 해피엔딩,20141085,2015-04-08,36280.0
그 사람 그 사랑 그 세상,[dict_values(['다큐멘터리'])],20141120,82,전체관람가,권혁만,2,3,그 사람 그 사랑 그 세상,20143081,2014-11-20,40720.0
코블러,"[dict_values(['판타지']), dict_values(['코미디'])]",20150408,96,15세이상관람가,토마스 맥카시,0,3,코블러,20145281,2015-04-08,35995.0
검은손,[dict_values(['공포(호러)'])],20150416,95,청소년관람불가,박재식,108,11,검은손,20157986,2015-04-16,4255.0
유고와 라라: 하늘고래와 구름섬 대모험,[dict_values(['애니메이션'])],20150409,79,전체관람가,왕운비,0,7,유고와 라라: 하늘고래와 구름섬 대모험,20158091,2015-04-09,38432.0
신데렐라,[dict_values(['멜로/로맨스'])],20150319,113,전체관람가,케네스 브래너,0,6,신데렐라,20156841,2015-03-19,714801.0
위자,"[dict_values(['미스터리']), dict_values(['공포(호러)'])]",20150416,89,15세이상관람가,스틸즈 화이트,0,2,위자,20156977,2015-04-16,71044.0
타이거 마운틴,[dict_values(['전쟁'])],20150423,142,15세이상관람가,서극,0,2,타이거 마운틴,20158841,2015-04-23,1846.0
더 건맨,"[dict_values(['액션']), dict_values(['스릴러'])]",20150416,115,청소년관람불가,피에르 모렐,0,5,더 건맨,20157904,2015-04-16,105049.0
화장,[dict_values(['드라마'])],20150409,93,청소년관람불가,임권택,216,15,화장,20133682,2015-04-09,136793.0
